Ranking, Membership Number, User Name, Win Points, OMW %, OOMW %, Memo, Deck URLs
1,0000083240,Azexes ,9,55.6%,68.5%,undefined,
2,0000692817,FonderKROS | Mandarina,6,66.6%,55.6%,undefined,
3,0000695464,Alonso Guerrero,6,55.4%,63%,undefined,
4,0000897183,David Flores,6,44.4%,72.2%,undefined,
5,0000571222,AlexVillanueva,6,44.3%,59.2%,undefined,
6,0000304878,Scooby32,6,44.2%,59.2%,undefined,
7,0001005465,Dogtor,3,83.4%,50%,undefined,
8,0000716577,HoracioDC,3,66.7%,48%,undefined,
9,0001003744,Cascopoker,0,66.7%,51.7%,undefined,
10,0000570664,Umichin,0,66.7%,49.8%,undefined,
